iter	Passed	Remaining
1123	63168	49230
1124	63222	49173
1125	63270	49110
1126	63324	49052
1127	63402	49013
1128	63449	48949
1129	63503	48892
1130	63567	48841
1131	63643	48801
1132	63708	48751
1133	63766	48696
1134	63826	48642
1135	63869	48576
1136	63923	48518
1137	63977	48460
1138	64035	48405
1139	64083	48343
1140	64149	48295
1141	64205	48238
1142	64264	48183
1143	64314	48123
1144	64373	48069
1145	64438	48019
1146	64484	47955
1147	64556	47910
1148	64614	47856
1149	64673	47802
1150	64730	47746
1151	64790	47693
1152	64834	47627
1153	64882	47565
1154	64928	47502
1155	64981	47443
1156	65042	47390
1157	65095	47331
1158	65142	47268
1159	65214	47224
1160	65272	47169
1161	65324	47110
1162	65391	47061
1163	65440	47000
1164	65493	46941
1165	65558	46891
1166	65612	46833
1167	65653	46767
1168	65707	46709
1169	65751	46644
1170	65806	46587
1171	65862	46530
1172	65916	46472
1173	65982	46423
1174	66030	46361
1175	66093	46310
1176	66145	46251
1177	66207	46199
1178	66259	46139
1179	66314	46082
1180	66373	46029
1181	66433	45975
1182	66490	45919
1183	66536	45856
1184	66582	45793
1185	66626	45728
1186	66690	45677
1187	66738	45615
1188	66787	45554
1189	66841	45497
1190	66889	45435
1191	66927	45366
1192	66985	45312
1193	67036	45252
1194	67096	45198
1195	67155	45144
1196	67203	45083
1197	67249	45020
1198	67310	44967
1199	67353	44902
1200	67411	44847
1201	67484	44802
1202	67524	44735
1203	67580	44679
1204	67655	44635
1205	67709	44577
1206	67781	44532
1207	67839	44477
1208	67892	44419
1209	67958	44369
1210	68003	44306
1211	68069	44256
1212	68128	44202
1213	68186	44147
1214	68242	44090
1215	68297	44033
1216	68360	43981
1217	68408	43920
1218	68475	43871
1219	68534	43817
1220	68588	43759
1221	68644	43703
1222	68707	43651
1223	68775	43603
1224	68824	43542
1225	68890	43491
1226	68942	43433
1227	69001	43379
1228	69052	43319
1229	69106	43261
1230	69163	43205
1231	69220	43150
1232	69268	43089
1233	69317	43028
1234	69366	42968
1235	69434	42919
1236	69503	42870
1237	69566	42818
1238	69624	42763
1239	69672	42702
1240	69729	42646
1241	69786	42591
1242	69853	42541
1243	69910	42485
1244	69956	42423
1245	70014	42368
1246	70056	42303
1247	70123	42253
1248	70166	42189
1249	70215	42129
1250	70270	42072
1251	70322	42013
1252	70383	41960
1253	70437	41903
1254	70500	41851
1255	70542	41786
1256	70605	41734
1257	70659	41676
1258	70719	41622
1259	70790	41575
1260	70851	41521
1261	70922	41474
1262	70969	41413
1263	71011	41348
1264	71071	41294
1265	71128	41238
1266	71195	41188
1267	71241	41126
1268	71304	41074
1269	71356	41016
1270	71415	40961
1271	71484	40912
1272	71537	40854
1273	71600	40802
1274	71651	40743
1275	71699	40682
1276	71753	40624
1277	71801	40563
1278	71854	40505
1279	71905	40446
1280	71958	40389
1281	72008	40329
1282	72054	40267
1283	72115	40213
1284	72169	40156
1285	72225	40100
1286	72270	40037
1287	72334	39986
1288	72414	39943
1289	72470	39886
1290	72551	39844
1291	72618	39794
1292	72669	39735
1293	72721	39676
1294	72776	39619
1295	72836	39565
1296	72885	39505
1297	72938	39447
1298	72998	39393
1299	73063	39341
1300	73124	39288
1301	73175	39229
1302	73225	39169
1303	73275	39110
1304	73331	39054
1305	73395	39002
1306	73456	38948
1307	73509	38890
1308	73568	38835
1309	73620	38776
1310	73673	38719
1311	73736	38666
1312	73803	38615
1313	73865	38563
1314	73917	38504
1315	73980	38452
1316	74040	38397
1317	74103	38344
1318	74158	38288
1319	74214	38231
1320	74273	38177
1321	74334	38122
1322	74399	38071
1323	74457	38015
1324	74524	37965
1325	74582	37909
1326	74627	37848
1327	74673	37786
1328	74719	37725
1329	74783	37672
1330	74832	37613
1331	74898	37561
1332	74951	37504
1333	75006	37447
1334	75079	37399
1335	75135	37342
1336	75205	37293
1337	75260	37236
1338	75319	37181
1339	75378	37126
1340	75440	37073
1341	75503	37020
1342	75555	36962
1343	75610	36905
1344	75677	36854
1345	75757	36809
1346	75804	36748
1347	75877	36700
1348	75926	36640
1349	75982	36584
1350	76036	36526
1351	76085	36466
1352	76147	36413
1353	76215	36362
1354	76285	36313
1355	76339	36255
1356	76400	36201
1357	76452	36143
1358	76514	36089
1359	76558	36027
1360	76629	35978
1361	76695	35926
1362	76752	35870
1363	76805	35812
1364	76861	35756
1365	76911	35696
1366	76978	35645
1367	77036	35589
1368	77092	35533
1369	77149	35477
1370	77209	35422
1371	77260	35364
1372	77315	35307
1373	77375	35252
1374	77431	35195
1375	77497	35144
1376	77549	35086
1377	77624	35037
1378	77682	34982
1379	77737	34925
1380	77798	34871
1381	77862	34818
1382	77918	34761
1383	77975	34705
1384	78028	34648
1385	78095	34596
1386	78153	34540
1387	78219	34488
1388	78267	34428
1389	78329	34374
1390	78384	34317
1391	78439	34261
1392	78503	34208
1393	78548	34146
1394	78602	34089
1395	78648	34028
1396	78712	33975
1397	78767	33918
1398	78820	33860
1399	78875	33803
1400	78930	33746
1401	78991	33692
1402	79044	33634
1403	79098	33577
1404	79148	33518
1405	79218	33467
1406	79279	33413
1407	79336	33357
1408	79392	33300
1409	79441	33241
1410	79498	33185
1411	79560	33131
1412	79605	33070
1413	79659	33013
1414	79714	32956
1415	79764	32897
1416	79830	32844
1417	79884	32787
1418	79933	32728
1419	79999	32675
1420	80044	32614
1421	80098	32557
1422	80167	32506
1423	80225	32450
1424	80277	32392
1425	80330	32334
